DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
03.01.2021;13:45;14:00;45,810;;45,810
03.01.2021;14:00;14:15;53,120;;53,120
03.01.2021;14:15;14:30;55,080;;55,080
03.01.2021;14:30;14:45;49,990;;49,990
03.01.2021;14:45;15:00;51,640;;51,640
03.01.2021;15:00;15:15;34,710;;34,710
03.01.2021;15:15;15:30;37,880;;37,880
03.01.2021;15:30;15:45;48,330;;48,330
03.01.2021;15:45;16:00;51,680;;51,680
03.01.2021;16:00;16:15;48,330;;48,330
03.01.2021;16:15;16:30;50,300;;50,300
03.01.2021;16:30;16:45;58,390;;58,390
03.01.2021;16:45;17:00;61,570;;61,570
03.01.2021;17:00;17:15;46,570;;46,570
03.01.2021;17:15;17:30;62,060;;62,060
03.01.2021;17:30;17:45;67,020;;67,020
03.01.2021;17:45;18:00;74,140;;74,140
03.01.2021;18:00;18:15;90,520;;90,520
03.01.2021;18:15;18:30;81,190;;81,190
03.01.2021;18:30;18:45;88,110;;88,110
03.01.2021;18:45;19:00;94,190;;94,190
03.01.2021;19:00;19:15;92,030;;92,030
03.01.2021;19:15;19:30;90,180;;90,180
03.01.2021;19:30;19:45;96,140;;96,140
03.01.2021;19:45;20:00;78,150;;78,150
03.01.2021;20:00;20:15;99,000;;99,000
03.01.2021;20:15;20:30;68,990;;68,990
03.01.2021;20:30;20:45;72,480;;72,480
03.01.2021;20:45;21:00;69,100;;69,100
03.01.2021;21:00;21:15;54,850;;54,850
03.01.2021;21:15;21:30;64,000;;64,000
03.01.2021;21:30;21:45;71,860;;71,860
03.01.2021;21:45;22:00;84,380;;84,380
03.01.2021;22:00;22:15;90,680;;90,680
03.01.2021;22:15;22:30;92,150;;92,150
03.01.2021;22:30;22:45;79,030;;79,030
03.01.2021;22:45;23:00;78,930;;78,930
03.01.2021;23:00;23:15;91,190;;91,190
03.01.2021;23:15;23:30;79,630;;79,630
03.01.2021;23:30;23:45;55,000;;55,000
03.01.2021;23:45;00:00;32,680;;32,680
04.01.2021;00:00;00:15;78,920;;78,920
04.01.2021;00:15;00:30;85,170;;85,170
04.01.2021;00:30;00:45;98,540;;98,540
04.01.2021;00:45;01:00;115,360;;115,360
04.01.2021;01:00;01:15;67,600;;67,600
04.01.2021;01:15;01:30;47,150;;47,150
04.01.2021;01:30;01:45;176,280;;176,280
04.01.2021;01:45;02:00;93,310;;93,310
04.01.2021;02:00;02:15;56,030;;56,030
04.01.2021;02:15;02:30;41,080;;41,080
04.01.2021;02:30;02:45;42,130;;42,130
04.01.2021;02:45;03:00;50,820;;50,820
04.01.2021;03:00;03:15;62,190;;62,190
04.01.2021;03:15;03:30;72,390;;72,390
04.01.2021;03:30;03:45;67,290;;67,290
04.01.2021;03:45;04:00;62,730;;62,730
04.01.2021;04:00;04:15;50,520;;50,520
04.01.2021;04:15;04:30;57,510;;57,510
04.01.2021;04:30;04:45;58,190;;58,190
04.01.2021;04:45;05:00;49,320;;49,320
04.01.2021;05:00;05:15;42,360;;42,360
04.01.2021;05:15;05:30;48,460;;48,460
04.01.2021;05:30;05:45;50,730;;50,730
04.01.2021;05:45;06:00;39,600;;39,600
04.01.2021;06:00;06:15;58,020;;58,020
04.01.2021;06:15;06:30;63,350;;63,350
04.01.2021;06:30;06:45;57,770;;57,770
04.01.2021;06:45;07:00;59,800;;59,800
04.01.2021;07:00;07:15;58,430;;58,430
04.01.2021;07:15;07:30;49,930;;49,930
04.01.2021;07:30;07:45;61,400;;61,400
04.01.2021;07:45;08:00;63,930;;63,930
04.01.2021;08:00;08:15;91,730;;91,730
04.01.2021;08:15;08:30;118,300;;118,300
04.01.2021;08:30;08:45;92,960;;92,960
04.01.2021;08:45;09:00;85,710;;85,710
04.01.2021;09:00;09:15;72,440;;72,440
04.01.2021;09:15;09:30;68,000;;68,000
04.01.2021;09:30;09:45;76,380;;76,380
04.01.2021;09:45;10:00;148,130;;148,130
04.01.2021;10:00;10:15;126,600;;126,600
04.01.2021;10:15;10:30;120,590;;120,590
04.01.2021;10:30;10:45;94,240;;94,240
04.01.2021;10:45;11:00;78,350;;78,350
04.01.2021;11:00;11:15;41,930;;41,930
04.01.2021;11:15;11:30;62,580;;62,580
04.01.2021;11:30;11:45;79,420;;79,420
04.01.2021;11:45;12:00;127,710;;127,710
04.01.2021;12:00;12:15;135,070;;135,070
04.01.2021;12:15;12:30;108,970;;108,970
04.01.2021;12:30;12:45;118,310;;118,310
04.01.2021;12:45;13:00;114,850;;114,850
04.01.2021;13:00;13:15;138,760;;138,760
04.01.2021;13:15;13:30;106,600;;106,600
04.01.2021;13:30;13:45;103,270;;103,270
04.01.2021;13:45;14:00;91,860;;91,860
04.01.2021;14:00;14:15;115,770;;115,770
04.01.2021;14:15;14:30;78,660;;78,660
04.01.2021;14:30;14:45;76,020;;76,020
04.01.2021;14:45;15:00;76,210;;76,210
04.01.2021;15:00;15:15;68,770;;68,770
04.01.2021;15:15;15:30;52,190;;52,190
04.01.2021;15:30;15:45;47,870;;47,870
04.01.2021;15:45;16:00;49,100;;49,100
04.01.2021;16:00;16:15;73,440;;73,440
04.01.2021;16:15;16:30;76,340;;76,340
04.01.2021;16:30;16:45;83,640;;83,640
04.01.2021;16:45;17:00;86,780;;86,780
04.01.2021;17:00;17:15;70,570;;70,570
04.01.2021;17:15;17:30;76,100;;76,100
04.01.2021;17:30;17:45;77,460;;77,460
04.01.2021;17:45;18:00;80,220;;80,220
04.01.2021;18:00;18:15;94,210;;94,210
04.01.2021;18:15;18:30;78,430;;78,430
04.01.2021;18:30;18:45;77,540;;77,540
04.01.2021;18:45;19:00;71,660;;71,660
04.01.2021;19:00;19:15;71,780;;71,780
04.01.2021;19:15;19:30;72,510;;72,510
04.01.2021;19:30;19:45;62,300;;62,300
04.01.2021;19:45;20:00;61,450;;61,450
04.01.2021;20:00;20:15;87,580;;87,580
04.01.2021;20:15;20:30;81,460;;81,460
04.01.2021;20:30;20:45;66,910;;66,910
04.01.2021;20:45;21:00;50,780;;50,780
04.01.2021;21:00;21:15;71,390;;71,390
04.01.2021;21:15;21:30;64,570;;64,570
04.01.2021;21:30;21:45;53,290;;53,290
04.01.2021;21:45;22:00;44,370;;44,370
04.01.2021;22:00;22:15;73,690;;73,690
04.01.2021;22:15;22:30;73,860;;73,860
04.01.2021;22:30;22:45;75,710;;75,710
04.01.2021;22:45;23:00;83,010;;83,010
04.01.2021;23:00;23:15;69,380;;69,380
04.01.2021;23:15;23:30;63,700;;63,700
04.01.2021;23:30;23:45;51,720;;51,720
04.01.2021;23:45;00:00;43,120;;43,120
05.01.2021;00:00;00:15;42,260;;42,260
05.01.2021;00:15;00:30;49,690;;49,690
05.01.2021;00:30;00:45;72,820;;72,820
05.01.2021;00:45;01:00;61,560;;61,560
05.01.2021;01:00;01:15;47,210;;47,210
05.01.2021;01:15;01:30;51,400;;51,400
05.01.2021;01:30;01:45;50,730;;50,730
05.01.2021;01:45;02:00;44,810;;44,810
05.01.2021;02:00;02:15;54,200;;54,200
05.01.2021;02:15;02:30;58,580;;58,580
05.01.2021;02:30;02:45;78,540;;78,540
05.01.2021;02:45;03:00;67,510;;67,510
05.01.2021;03:00;03:15;53,460;;53,460
05.01.2021;03:15;03:30;45,970;;45,970
05.01.2021;03:30;03:45;47,360;;47,360
05.01.2021;03:45;04:00;47,190;;47,190
05.01.2021;04:00;04:15;39,940;;39,940
05.01.2021;04:15;04:30;49,070;;49,070
05.01.2021;04:30;04:45;52,000;;52,000
05.01.2021;04:45;05:00;53,360;;53,360
05.01.2021;05:00;05:15;54,950;;54,950
05.01.2021;05:15;05:30;60,090;;60,090
05.01.2021;05:30;05:45;65,300;;65,300
05.01.2021;05:45;06:00;52,080;;52,080
05.01.2021;06:00;06:15;57,140;;57,140
05.01.2021;06:15;06:30;55,540;;55,540
05.01.2021;06:30;06:45;64,240;;64,240
05.01.2021;06:45;07:00;57,710;;57,710
05.01.2021;07:00;07:15;43,340;;43,340
